log_id,mse,activity
1qlCj3pPA6OZsPbllxGUwgjgf2LhpQ4zOPTnCkFnUq8YIsutW4LY1C4I3r3SVPepSDBjqlDkbajkNltNA,2.4567963636084914e-09,wrong
1r3WiUteosV7fSX4ylWWLsNF0zbJkgN1ykpl3SrWJKWeSD0ZYnPxFB2PWOfg7j0oU2biZRvB5w9Xzh3KzhQ,5.284047286929694e-06,wrong
1rIT97TJXBNtwTlGwXKmhuuANhSVnA8ARc6TaJp66jXmVS981GWHBqsDzIGHAmxNv4BwEXlpSmNatv6IZSvw,4.065661129315502e-08,wrong
1rZt46HEtlAIkXjF0I7BjPf0NNXtP87QaXlc3exIcHXrG9DvPmPbSgoDWWbvWKErIuzcVd1jDAC6czI5Eag,2.550130627206202e-09,wrong
1TwwhoxVQajKEsyuz70aFvhFPdpJKeJiR3zAReQCugZwdhWzkzJv0Q85YNY0OO0lkce1lOqUnrxHKLGasQ,2.684540172683837e-09,wrong
27jcL6uUG0da3zLy4za4IU6HatoTOzDknmsLCZj6QgalBMqAq5Ox7R2dMDSSPzvUrLHVFtkFrPsO11nFjug,4.1919391394654115e-07,wrong
2Ay4CD1mMw4okEXNdpKHyHkuhO5OgDH2s79qlglL043q5IxkeiaQ0X61itMiFvl3syshLbgpRIo22JB7tpIQ,4.301578401649637e-09,wrong
2C2dNPDnxG9T1YWQhJflLwuYaNMkjdUKusZ7h27WEQqftnUkFj7FzmuKegk8XXdpICSCiibqJTUzbVnlzQ,2.9370866283432415e-09,wrong
2hRbAOuZ4riWhYQc2FzYOLYWEcSM8keaboJXa5bQdrh5hxgDwnbD2dHbdtutcqjctNkr0NISq4dYotgha7A,2.498355926620718e-09,wrong
2vie5tMmulE2LenAvkc0iWA50I8lLOIFkwb8fz7sM4D0RUbuQ8YSs3hs6fY4BvUsNc3y7Iofu9gh2f8TMDd2Sg,3.1470965771158066e-09,wrong
2xbJu0fNjcZOgL70P3lPIH44eAPPpB34NN6v8kUv2XYRozmZbkVVDkq7PGFw2vsAgvqqdzIM9wzIv7jYLPg,3.2416624078190564e-09,wrong
2ZRSmgmZ2TRjhtmGZpKxlPPcuTOjq1dklpHJMMOTZ2zO5pYR6Ulsrd5RRGjw4QjhmEumy6avBxsp8S6CA,2.5632897451523217e-09,wrong
3BcTmS6DtloaQcJaNC7tdAZKXh2T1D1XR0QRxJUBX5dnvKoIiCyBJiRGKLERHTWTlAf4hsh8Ub3wDTBGw,2.35915163083459e-09,wrong
3bY1RSuZIrdo6Vss702dxQf360Oyp1hsBCHvY7O15m8SvxahBpkrGMlkYI9vOlzL3vpNoGEL9NYBP7w1flnA,2.5810346204186684e-09,wrong
3iiKpwgjb7chIYdJkPEjalOmbBI4SoTr9WilsnK2TqNQvpcJIJuBEWePi2ZntXrur3DoRmckrl0c2vVA,1.0227106960510891e-08,wrong
3jSR7nXVwxCi9R0F6SleEB6WrszbAWtHxub87UIYNRgPRWtvE9XaiVZymtFCJ4bruIt1qbU6FdoHxqcAp1g,2.797333292277286e-09,wrong
3oxtoFy9CSSoG7sllZIFJT66rHg4oy54Cb6L5pGwvYFnRTFh3TCFrTHNIs66lZahmxOvMGgH2yQOxEXw,2.4748027300455956e-09,wrong
3VPwcViTqq60384stZVBTWkP7G3Y5bbt2OuDxMLieGQuVslDgOXHezMFHWt2dQ4T9E53u0ppmBfgwe3gl96g,2.496310788582237e-09,wrong
42K2VJ5SUhpvZdi2GaVQjV3Ij6sl0TvKXUqyfJmxrwleWZZLQUkEjtxeb4sQ0UlcGYY26PkraX20iTdGeQ,6.346351224638182e-09,wrong
4BJZojk4q0eV6SBvnO9mYnEMfwK2FgC95qMZZs82NWOueUw7QAEu2GgAnhE6LQDSkOwOiFAiFekPb2JMXzA,3.063731109797656e-09,wrong
4ggCjOJwtifXmADZdxSDnfaDZQb9qkm40JkwBdc3in7qsCDSsMCzudAoYCu9g9yJnZEZSxx8Vg89oHgifXoog,2.5211203114277303e-09,wrong
4H2agOy61pUi689B6nOlSE81Mkv7frFKF2B20rXgmzAPx56ILsfsloJZ0hBec1X3ZWOaglDJwbasYgGHtVw,1.561437062013683e-06,wrong
4IdzJ27if19YcZtHYsNUOqJxDh2NKg7UZGfULYkB8Czf2W4u8ext6L8MYa3w30nPj5wR9X1351AQlNU8qdTA,9.321853682547105e-09,wrong
4l9ZRM9iSHsWArEUiRI6ETexbwSNPq4zptljrnSVe16fukZ8Uj6KyjYwNLCL9h7APizCj2Wqb1OqCHNmRZw,1.4309700829916925e-06,wrong
4mi2IwdPyvCXTt7IXnhtQB8PD1jq5jLQ5uM2aj8LGaeUEVZzs6sYHN1nrkxa2pEt3Cz5mFcbljTP7SGgjvPg,4.3410489048106646e-09,wrong
4QvQ4qLmV8udwEngaaoBvy3k3QpWQ2FzK8ZgvmGGe1o2Qdv0Swhd3XQDWbHbmzjvKQPdwadVeSmjX4LWjBw,2.5010370625155216e-09,wrong
4RrzSaWG2C3eqLDIFmlcgrLXMwX38FB7Dr9zjnNfYLKIoy2ZnmdSd6HzYbq1iQm8PT3ad3icQL3WRPG2A,3.3104613916686524e-09,wrong
541jVKCUz1Tt6sLtQnymcx6OvQyeNLoC9WGhzFUwU46SqCJSijtx4JPpqMBZ2xS1lxch6QBEFOzwcuduh2ffEQ,4.6644451569893094e-07,wrong
588HZWpaVHey9gPM2iOaB6bUT1dVC1JohV4VSyCC2YeLtJtoAegzIB9Ze7oXqFBpzYXNkh6VwsLtSYO031xfA,1.0719051396754095e-05,wrong
5ggd9dVXXZqRLlp1lC7yvRgjp6BHx7wlTnL9s8AehXfnCvdwx0bEQlRuSBZHK1BfNL079HZUeN4nS3IRPFA,2.441061050454006e-09,wrong
5kFgrPOPBZiAUXEXHpDzjeTl6CwjKkuEwZSHamjaLaZFRzPMcUyI9NUFxfzw9NIjCiVTDpPDZ3KQdhTsjPQ,2.864810533081136e-09,wrong
5OdOWMEuL2I1wUIWM6ImT1YQdgODhzL46qKkCp3dM1wRZvVwutCe0ws7qOJ9KWJQ7TOB3ZvTdlndKxQwvp8EA,1.4767869584743078e-05,wrong
5qJsiy6LQvfzyyXbN54prkh0YOTdlZvYbQB8aySMJtJ0RBQlnulWKLEW9a0pALMnIgabPG1bZnlWtrzLDe5w,9.604372862646052e-06,wrong
6gQsGtBdbtjRxV3yrR1qvtwgl3x7sHAaNhWKOecEMCU51KzoIf9fPtPmxm59nnjY4i11OynXWRQL12Yb2jDpg,2.3271912250446765e-07,wrong
6k5TN7UR1LoX74qOdT5VI7LdOhvK5ROb9NXnhtqfrMrlEmy4miB1eUbi8WEBUJ8kgIoIHZsVZ6kSasS4kxw,2.5245520175014284e-09,wrong
6m2OPz9Qw9fNQYVdasvtyJUzOT0l8xvz1GKZvsGVEpsRJPbqwzc8lw3xj3lkzODUa9KL6ZeTYLMTg6XFpFQ,2.5834516769992214e-09,wrong
6p5wezXwyAsYQZKi3Ntu34UcRsYearP0RhZpCb43XyTQMn389kXeJBbNhkgDHaxmPYp2QhYqvCAaHlZGswPIQ,2.4131948467900242e-09,wrong
6SpPFe27WD1Q5cFjptB4PjZ3adqFk71CKjjBmGTVsNbISFFJpZ3Hs8KMOvS6lOwMMQoGzZLCukKk8yTHUMWQ,2.7660754231818816e-09,wrong
6v5zeeaXYiJBNNsDf75kxWQuDJvHlK2FITX0kcOShglZ7o7fsdXCeYJFnOZNSn6UNNEph8VU2aIThKsuQ,4.2714342277367086e-09,wrong
705pZACR0GD16BSbL9n5JKEAEgJH8GqFZdeCwIQqSLKPtrCye7eiY9uIgXhqd736QcjZ59cuPZBdVYfXK1Xfw,2.57077380385853e-09,wrong
7AEg5YTDmaVo4VB9krRyilgrCI4kzU3Cv8kvnV0ZK4MGV8vuU5pE3qOPEv4RWxapZ2lx6cZiWD0xaByBdSU2A,2.502504204827738e-09,wrong
7LKaTPaBGxn8zol8UWkNumdVRdJPKKAIiUczWYmGjEkaVQ8cJVRwJV4e7WcUv3BSOrdYwUdQvlLmB5f1YoQvw,4.520130244541208e-09,wrong
7o58dC8RMpfypjL8Jra14xPafGzFnYCTtmjsXADWdnVYaeFNd41cKR1X1iEmJXAgGGPvXTfWvB57yBaF02A,3.893280965484974e-09,wrong
7pHNyKfBCAXvHSlbbIWfyYviGnL9k2o96QRkQ4CgMIknV0JGJXjnVqvJc24R9vCKYaZIPEcEvbOElMEJPdCw,2.9654066618753024e-09,wrong
7POwdic5HMGGrVI62TPTVaPR4Oz3yF3HJff4S9k6nI6OV1E5irV03GXMcJBloNoqVlq5G96IJQACptmaPWA0Q,3.065816608285524e-09,wrong
7Qw5ZMBl6wlMHKLnQDvW8Of9lwrgCYzNat4GlGqKMzDgAByemq572pi0A2GA0LbH2SznIAOReIyB1CwfjpWKQ,7.32007492090153e-06,wrong
7sXb6wfHJl7jy8cf80TWTDVPktMS936Z724JYgCqn17vMw6XqhPUMXDWswOoPUfwTdL1NsmafermJ23GbIg,1.0063865282833322e-06,wrong
7woDawHwA0ZDL4U3TPNlSZh3Sbi8oEmOst24SvypMFXGZqsK7gmkw66PPm03rO9PAlw7Rbbpf1fgw1w,5.682483928490418e-07,wrong
85ow7KoQfVrzoykYkrMal2U9EV3ZT8edt8wd0zBBzrvc9R5Ma3c8G085lmu1lr040BxVlyNydoNjgxW0kl5A,3.267486942160097e-09,wrong
8aCs06BMnswd6Thfko6eYi7VY0pPBiAsUeto9ITj9oEemH9aAIrzZPF3mq54fqFjm1Syao9EaINABA4NqMMA,2.6535307044203786e-09,wrong
8nGKF5gMCzk5ehP0iXbJpl33WYVqaMbtA0rGTSYkzVvxQo9XHh5chDw6sfcdFF1v1jEvOS8b8OOUJekleNFQ,2.4218904052428237e-09,wrong
8vXUBwKYu5tLzUnPbh3BSsu13Y0k43K0uUHLuQMAcl4Ftz8PwUSvYcVafeEFs1PxfMevtmWnMUFLJknJKJjbQ,2.6164028120817287e-09,wrong
8yxX32IwhzoRuIcv40PvRvlZ6RciAVGj11i98sNV1UylNBpesG19akrsZaAHFEadN4gAmjwn7rOhdaPCh9d4A,2.033744237405642e-09,wrong
91j0BMGL3bz4jyPe35u9gZbTzvWGJtgqoCXsj6XC4k9Hfz11QbbUe27d9mbc1nXhjVxWuCLrUKhQmhxdYkQ,3.553765890758745e-09,wrong
9L4V07va6Uyd1LGM2sBn6iDzpkmh6uee9lDZ07m1goLnvrPTp9p5TIQXnmrp9ZR2VU8uKKnPpHm75i5v6I5g,8.552579590168932e-09,wrong
9lpfNX8P8mxKq3TS3FqkxN2wkN6tSNQrzSxe5C51brnbLihfT8FwHME2UR7McLRPQRmLE6ppyaQvosjw9hw,2.255759395866609e-09,wrong
9P0D5zzHOiQsbrxLp34Eg9etCOgVBsnuQ76uSXYUiL7nWO2WOCDHkGtyM5PmPGW0DHFkRvBbhw82MFT94EkSQ,9.56218884343995e-09,wrong
9sTa3FjHyjqUeR9JFOiShQwEiouLyYhMrjd5LMgvUfz36z7z1Y1vXzRCL396jrX4udQ6V41PmN465TnOhiw,2.5397183870063304e-09,wrong
9UxBsBghPJmBB8Nqk02pjazOMND4OkLFm6Czjh4XBkCBVNY57MPKcPoOzPd6X5J6Ti3nlVXVoMhORrZdJBw,4.413429399360237e-09,wrong
9ydCV8yyvnP1IcCzi5xCB7omzAiJWorJkneP8jn9wBc4hJUNe1DVuKa60acJtraEEEsx7QJaZYkhoYAfDKA,3.316553543074025e-09,wrong
9YZ8jygRdvvZuvhDUY2j7UWQMfYU0vEiFGBBF5DZoxrtCDgYBVXCxKvyeFNEQpK5NIMLAoXxP51pZkz5jeRoQ,2.6053139419496665e-09,wrong
A3cBJwW3jnWIz8g4MK4LOShIEm4EBokstjlhtinENZiF0e7FBOVjuG5jYDazbtIGCjaHBXoucMv5iRnbEHw,2.560454985604656e-09,wrong
a4eSoALy9nhKTi2cIp3ODEfpaAvEL3m4WSz1dX9zGjA0g95mjjcbTx9F4Wa4P4UYlrCQUSr4gwAzQAs52Fg,4.77500938685412e-09,wrong
a78cpXr5qjNX7wbr5683YXTNy2S1pA5lf88wQRgxlQ0xmoUqGw8r5xveS3yIrevfycdvLOvuiUBiPbqJICkxyg,3.978087455693423e-09,wrong
a7vYaX9OA6F8vkDU2gjJwiUIvzKNUdhnWVH92CnxEXpvUWn7N8Pg5RpmnxqMoWpM6BZVA0FB3fmnaHYhq3dg,2.4820167963842962e-09,wrong
a9vbL2yfx4gHsHpE3paA2c9WBkYxqsjCvAYuLPB741JDY6nLRzDW8GhC1kW9uOGX1XrvCDbynzfFXnUEJCcGg,2.184150958333782e-09,wrong
AacHJSHgnZJs8EbTLPwXM25SoV2LLxobOc5lsKWOJ2NFPw6jPNfD3M1gyEPKMstaVOU9kjPnUmKbsrADA,2.562422550660515e-09,wrong
abN8jtCDDnF5nGOSDt12AHCEBvvDUg6uh3lw5PIiFpTSuzWPdZfDCrITTawUh3lYJYmqBtYaGCfjG2qztmRw,2.613117516197167e-09,wrong
aGWjw1TWoeFbwZUUR10dAKtVbYTBsT7CyDLnlWr9FigcKlNhZ5uK9nBp2VnPPJdP36rJJdUQMsUKPJlk2kew,2.65455751134306e-09,wrong
aHLpdi2a0vk8GDXrDBnIJOSq3siWtXhCcMpluVbS6hnghKK9kLmHRkxE1xdSNpkKdAnt4pO5JX53WSOBYuyA,2.483706960529907e-09,wrong
