log_id,mse,activity
GSFRAj2b57K37WMqi1YNepcbGt9LrpgLYomi40Ylc3m8yodJlZ8JjSDs7NxbtXVCZa2bY5SjkaFblmkMx47w,0.0001654847828857518,right
021YLpiAi2VSAbmXTT2Kw9zFzc7K17nuEVgzZm3beMmYoJhkc93M7JDBdI9IJXTipsflJGSnZDJ8LMYBYqCQ,0.0001978928140063561,right
0kqVthWRxVJRinafAVwZKFp8hI1zssOZg6XJOMOwsG0WXfl7wvgCqYAnpS4oXTyDUhITMPbC1clPTXcRSZkw,0.000197974188268077,right
0mHNFXUDdwACmydw5odIM6CqUor2IxCNe1feiMfSMForXW9ZMGa4JkexV7dL7WyRVfY33iznOJmsHI8IpD6Sw,0.00019824239498516776,right
17oUf8Cy7mNjoC4fGQmoXhX24wL56eD2ATjTsatKtw9VYgBbSz7gsT5MOznYLfZNbehyjknXKBbup39uPJhA,0.00019801565282993332,right
1lAj6owWazXbOwZGmpRVS00rHNgdHEdRgySuyyFvWHHIHv88zdD1qe3sEmZRDtP6cXCU0DXg42sVDEDrgw,0.00019801785719148154,right
1NxL5MWjqJ4F2dW2A0eUjsaPky9I6CiI8SJ9iJBPp13OqgviNZCpGMZCXXIoKXtRI447B7lQhS96J1jew,0.0001980158695189511,right
1r3WiUteosV7fSX4ylWWLsNF0zbJkgN1ykpl3SrWJKWeSD0ZYnPxFB2PWOfg7j0oU2biZRvB5w9Xzh3KzhQ,0.00019795074762985298,right
1rZt46HEtlAIkXjF0I7BjPf0NNXtP87QaXlc3exIcHXrG9DvPmPbSgoDWWbvWKErIuzcVd1jDAC6czI5Eag,0.00019801396637419524,right
2C2dNPDnxG9T1YWQhJflLwuYaNMkjdUKusZ7h27WEQqftnUkFj7FzmuKegk8XXdpICSCiibqJTUzbVnlzQ,0.00019794287452062518,right
2ZRSmgmZ2TRjhtmGZpKxlPPcuTOjq1dklpHJMMOTZ2zO5pYR6Ulsrd5RRGjw4QjhmEumy6avBxsp8S6CA,0.0001980091502314761,right
3bY1RSuZIrdo6Vss702dxQf360Oyp1hsBCHvY7O15m8SvxahBpkrGMlkYI9vOlzL3vpNoGEL9NYBP7w1flnA,0.000197997908755545,right
3jSR7nXVwxCi9R0F6SleEB6WrszbAWtHxub87UIYNRgPRWtvE9XaiVZymtFCJ4bruIt1qbU6FdoHxqcAp1g,0.000198013392146499,right
4l9ZRM9iSHsWArEUiRI6ETexbwSNPq4zptljrnSVe16fukZ8Uj6KyjYwNLCL9h7APizCj2Wqb1OqCHNmRZw,0.0001979872775597755,right
