log_id,mse,activity,Recognised
yLhvLULhWQerm7j7u4UMjh9ivMuFq1Hwf2TLjOzmsMXvHm1GdZSYW9ETVtbMNx82gmV2dugSzH3wPT9kf6mw,1.8427539728792256e-06,right,No
0yGJtdbPjH91ocDYKXWiiQ8GdnURmuqSwu4BmhZ17Pkd2B1CooBCiaiSQ392v07oDxLFybVS2OrJrSUqP6yQ,1.648659217219392e-06,right,No
aMP7dCYBEoL2FnB5IVTZmhnmtAwJWuZJhKWsl0UlVhb2DIIivLe0fPjwQ3Dsa5vbX5E1P939TiQxUbrxqBjA,1.6573652798649049e-06,right,No
aTuVcHzz1UYlENx3AfTCuSvejzg7Oc3Ap4p5XdLHoWQ9cpoYg5DTpnuW9O0hmaSD9IkCyAs85cj9ALaJOBag,1.6515640992094993e-06,right,No
CKuASVs0l8uene2fe1roZCq91JlNorY1rumviij8HOYpqZtPFe0jt8W7aymfmWtKh1HqoFBBucOynGzVw,1.6816160625841217e-06,right,No
csu71SUSo83NYSsChwjkGq0WU591UkfBgpB0pYK2yQGTScZJiDD3WqP4N1JqT3D9FvS03zBOfdZNC4gp9HCw,1.6458318443397408e-06,right,No
fdNfAG7FSVYXECre0TFtY9MXnSaV4ktY3jrRM2Xz0LAEVjcfRD9EBMxkCRxqym0pcRlodsomjeuFPT6wtuQ,1.6526655003497417e-06,right,No
HEe0DOXSfQOySpZinPZrRjfyeWf28bRBhfCP3um1twnn3QbUhf6g95koxf7uex8faeaevCaby1b1cLCfadNYVw,1.6644164673353886e-06,right,No
JPNxWpPmL4szjhEjvocimduXXW5Yo6Hbz4tRFN1gO3HFES1Dksxdzz7wbMt4BVCVRLThOS8hDEJyHm05A,1.6430976415841326e-06,right,No
KTujUbX0yLn3dkKWnADlIX39lcWvVz36dUPyRoAqSZKOPxmheGnxtlvKcNtosuze4IloyHdlrujjJW9wYDlA,1.6637100345180598e-06,right,No
KWrKNjZltVOrJ95DjF2wGWKJ1ex24xIvQ2oXsjNfJf13hPUHZcbG6QuRdtGh7lyJlvDprf5pn9volEBTkqgtQ,1.6503685388353868e-06,right,No
PhneKXVsDZGtrjp2kIQ4XhLZAOK331R3PHHChvDwFoEPtMzYgYdw7spPBdtO4gnX8UL0ai5c4bWwb0K7rrQ2Iw,1.6341473942982707e-06,right,No
q1pR0qOJPrZFN7yzZigJiIoVEWWQShYt1xPjtjPDP1gCN1wxSHQN1m5TBAyznwNpFV9DCXOwo13dcmZybgw,1.6403878214073955e-06,right,No
RcbzBdG1wuaKc9QVmTRDvSJ0XaY7GgNG1MHMuQuarOwpM0E0W0VpvmDCzVYaA5LqvjJ2pY2bDzhw1fRNdA,1.6263200672853034e-06,right,No
ve7iOhLbGE11HS2IX0VSFhVeTf2XAGyJmRtpbaaBjWteuM1DW2xlR26CCluLWiGXJgdhLJyKLMfiRtYiKuQ,1.6609818837460968e-06,right,No
x7yIM3Hzc6hdi2xGCMWUSPL1NFX2ITFU2xfeexzVIZv6P87PeptuYzYVd9JPEyTbPQplVvqTfWPzPJ5ZxaJQ,1.64449334954282e-06,right,No
X8mcpH70fJv9M7xfAgOVfcFlnN95C8GWi1iBSiyxwJnRvFyyqKjJBXiQgSU8B6uQszdBP6Fbk0jCW0rAMbQ,1.6427936520754268e-06,right,No
xhIfmMrr5sRLfOM7SUBlyEa0ArQVYycMAXYTJo086Axfrv6cKBYcb9mO36S1YPljkZOWGNvzEAu9yC4A,1.6595264767458744e-06,right,No
xv58a14zbHiXPVdqlJaLhbiw45xF5RXG0lQyH1mbGcUp8w3YaedfwqYGBAjarf5IVI2i7r2H0hMAFqmGzKxMg,1.664026295395646e-06,right,No
YNyI4y1NKtLZJwpSgztiiTLm4Bi2ICAIs9PWmC7J3pe1UIueR6MZ7WxICHFfA4f3JDHm7L5Ti2uG0HzxuQ,1.6484861011590125e-06,right,No
HsWsXEzfbrdaeMZOvVphCRifPk9j6vQSIArqdL8Gy7bJjv4n7DA9DiNLZ65iu4sB6SjHisdF2yO1gXU2YMA,1.720153124445512e-06,wrong,No
j7DYLRBJPRvi5Ews63BZTi4ahWfwcphbN6CMR5UmYVksTk3mfKKPb22lLhI1HaRd6PRu2gOtxPwV4dETngWVJA,1.6401285449045198e-06,wrong,No
MwKeJG2e2DyYMHyPXOXDi6FxnJiSxArLsxaXQ2m0TyVc5QYzQw7ZK0tNUSPBHmAw4rGQy8OmImsk9gLIC6ag,1.8853996004666868e-06,wrong,No
uIbB3QuAeIOA57B7K6L6xGakcXYzgfZov1aLnNLUWFjHo2KGYSefmFQiyIU3pGZrYzl2li8YOaNpsvMPJp6g,1.6459705108422516e-06,wrong,No
URiBRAq92qE28kY0yP5cb3GSqX88s50rGs9ffWcRLQw7pZpFYDl6y5wyPM9SBfgaKt4nXeSvNfG3kUHk3StLg,1.7753917242718557e-06,wrong,No
021YLpiAi2VSAbmXTT2Kw9zFzc7K17nuEVgzZm3beMmYoJhkc93M7JDBdI9IJXTipsflJGSnZDJ8LMYBYqCQ,1.6337156810057657e-06,wrong,No
0mHNFXUDdwACmydw5odIM6CqUor2IxCNe1feiMfSMForXW9ZMGa4JkexV7dL7WyRVfY33iznOJmsHI8IpD6Sw,1.6623362162917046e-06,wrong,No
588HZWpaVHey9gPM2iOaB6bUT1dVC1JohV4VSyCC2YeLtJtoAegzIB9Ze7oXqFBpzYXNkh6VwsLtSYO031xfA,1.6316360299691155e-06,wrong,No
5OdOWMEuL2I1wUIWM6ImT1YQdgODhzL46qKkCp3dM1wRZvVwutCe0ws7qOJ9KWJQ7TOB3ZvTdlndKxQwvp8EA,1.6343329512145009e-06,wrong,No
5qJsiy6LQvfzyyXbN54prkh0YOTdlZvYbQB8aySMJtJ0RBQlnulWKLEW9a0pALMnIgabPG1bZnlWtrzLDe5w,1.6310020184044869e-06,wrong,No
7sXb6wfHJl7jy8cf80TWTDVPktMS936Z724JYgCqn17vMw6XqhPUMXDWswOoPUfwTdL1NsmafermJ23GbIg,1.6624058529595014e-06,wrong,No
chLuBJ3xU3XFTEAR1ZWmcR6pHdY6gCmYRxKUv4dojJH48P8vEelsP0OmZv77urEACYzwA6kkc95yfpvtJV5lZA,1.6441222331029244e-06,wrong,No
dzLAN6LWUQM9qkoVPUZjmUk7WHKid96LS33NmkxaRPF38PdYZq2rJeZRH5QrrNAvf0Lj2UxTkjaoLLXQw84g,1.6316685505430077e-06,wrong,No
EIM9mASGXaiZeWBnb6zZjjLMVMbbkZt5pSJ0D6XfOTjk55rDDFKWGal1JxHxTNUqRfsClmYrylRed6d7D3A,1.6893044715484251e-06,wrong,No
fabT0v3VDiYRj2avRDiYQHxHflGzLnzTPZVDOiBD5xDT6zPkAbb7PoIiznEauQ16GfM6q8m9A57cGIxwaA,1.6322022083662123e-06,wrong,No
gWGmKdkZYU1L3lMulmubf8bkI5WmYACiSjlScEPSzAeTSNEbvHXzLoiMJIQAfFLk3Ae4jfblTGTLZlQCAA,1.6306850241816346e-06,wrong,No
iaRq8hdusyc16oKinsPWMZiIi730yo5RLio5pBm0rcNt0vRrIPLkcAjTOcg65cG78UIm9w34bxqpZp8vCQ,1.6311920502343318e-06,wrong,No
L5tvpJmSDHYmG1BjpEoMd8EbykxyFZSyaOGcSJhS9Szmz9c9wFnV5AxSMWqLUxS71DxHPyE1udSDjnHIvJpQ,1.6410383190967892e-06,wrong,No
luZ3i5pHqzahv4MY946qZ0iZeD3cSBlSOhzMktKcEZZgvheI5fkv4YfwSBSRo8YQOCbYT7oTZxAimJtWIxUw,1.6308236102570804e-06,wrong,No
SLb5V3AN75WxGDdbY8gM1HVeqZXTO0k51tMY51HdiQdCpmWkx9jacbfY9CQcBmprqE3r9kw33IgrOQPKRI1Q,1.6388423928275556e-06,wrong,No
UPYiWp0LYRMcRguwJlSe9dk2qGnjDr6RjPJDuUD7JCdSl29Ytdc11tCG4e4fFLu2ZdxRVSyygTScL3jj3Q,1.6260046443160895e-06,wrong,No
v7I0BiJdQBAJj4jowBXkhAnjpQqXxYJuwWVmEttwjrs4am0jcCCJmkBhGlExkM7njRMoHIwHJjQ3JXxfhbOQ,1.7929672794758445e-06,wrong,No
WdCxWSsqbfw15eiuVVkfeaocPV04fApSkv4B2cUpAYpZf1FQelX9RRGfdG90r8hBo8mjUQAjQOGgGZZ0Femg,1.633382561070508e-06,wrong,No
YE0o7PHEXhK4U0jtuKsyTZ8At8SmKmUS0V0MzhHtsQU8NdUQRTtaA51z1iEkU2wNzKLpPKYpCGkOCOoUpknQ,1.6381025764753926e-06,wrong,No
yGkqGcx0TnfQ4h6SBtiH7HwDgZwfdBl6MdoYVpXPKaTAglAkKY63GNE68VadtRM3eirA5H0FyNbl06M3g,1.6447438841968367e-06,wrong,No
YYV2QwRqFNEfRoh6s9vJAr5lovjuGmP9ogwhBIbzw9ntMKOCLZeJePzvHnfdY50vE2tM8gB2XBcaF6EQD8hPQ,1.632401140060174e-06,wrong,No
