log_id,mse,activity,Recognised
aMP7dCYBEoL2FnB5IVTZmhnmtAwJWuZJhKWsl0UlVhb2DIIivLe0fPjwQ3Dsa5vbX5E1P939TiQxUbrxqBjA,4.082656102404571e-05,right,No
aTuVcHzz1UYlENx3AfTCuSvejzg7Oc3Ap4p5XdLHoWQ9cpoYg5DTpnuW9O0hmaSD9IkCyAs85cj9ALaJOBag,4.0827029637626745e-05,right,No
csu71SUSo83NYSsChwjkGq0WU591UkfBgpB0pYK2yQGTScZJiDD3WqP4N1JqT3D9FvS03zBOfdZNC4gp9HCw,4.0774327028676525e-05,right,No
JPNxWpPmL4szjhEjvocimduXXW5Yo6Hbz4tRFN1gO3HFES1Dksxdzz7wbMt4BVCVRLThOS8hDEJyHm05A,4.07439369606836e-05,right,No
PhneKXVsDZGtrjp2kIQ4XhLZAOK331R3PHHChvDwFoEPtMzYgYdw7spPBdtO4gnX8UL0ai5c4bWwb0K7rrQ2Iw,4.066326528196981e-05,right,No
q1pR0qOJPrZFN7yzZigJiIoVEWWQShYt1xPjtjPDP1gCN1wxSHQN1m5TBAyznwNpFV9DCXOwo13dcmZybgw,4.072857581991821e-05,right,No
RcbzBdG1wuaKc9QVmTRDvSJ0XaY7GgNG1MHMuQuarOwpM0E0W0VpvmDCzVYaA5LqvjJ2pY2bDzhw1fRNdA,4.05743961449809e-05,right,No
VcNz8kPcu79Gx84p8LA02UBuNNjZtTkwUfWLRhAe3h7VK0RW1UShvs4KOsisUsef160STR1VimUIlROtShgQ,4.067955601911313e-05,right,No
wGxAwLpb8UlVlNfToCwvRheCfAwBKa1Bv775C3ImJXfrYw0Mh0h9XgtgK0RUjoeGhMaF6SjqMraHqVmZ0LQ,4.067020239193789e-05,right,No
x7yIM3Hzc6hdi2xGCMWUSPL1NFX2ITFU2xfeexzVIZv6P87PeptuYzYVd9JPEyTbPQplVvqTfWPzPJ5ZxaJQ,4.077288324528492e-05,right,No
X8mcpH70fJv9M7xfAgOVfcFlnN95C8GWi1iBSiyxwJnRvFyyqKjJBXiQgSU8B6uQszdBP6Fbk0jCW0rAMbQ,4.075226859214161e-05,right,No
YuutKGDwf4L4dl4hui3y0KigiPVFHZgSTTCkpJHTLNM37vlNeH4OYrVmONZEGMGo28E8wGAMoFH00eva1ljA,4.071917195080579e-05,right,No
0yGAu6NFhY8iYxiwYNPVr4IIvJdVmcPKeDBMOpNkzeelTna3pEXVyM1ESDYjUIxxecA1uYLtirbcGJJJJA,1.763580620155603e-06,wrong,Yes
24rrYFo5Ne16cjcQKcfs2TaX8xgKxHHQZwFaMo2KAkKRyOmMWUY143VwOy4O8QyTmEI6PpMYs4CFJNGg,2.317265220708328e-06,wrong,Yes
2L0HqCPlWrMGP4ozjbyxZ3QODmCUD5zsmylzc91C3TxwJ2Z7WGQQiBseNSY3X0aZNCEfolPHzK3uwgQ0Ew,1.307868436351273e-05,wrong,No
3tNUqQYeevOu6FmYmRnnz7GvtyMePjiARXkRTqoib04RJrTdM6OE5MqUIgMQDSUv5QZApB7L4Z6Eqwh3LoQ,1.9186023414610566e-06,wrong,Yes
5N9LNqTzl3xfWJZb9YH52yxIWX7TizMrZaGucFp9DIP3RDeQN1zjX0IVN5SFubNejDnE8w47q6B62v1CnaaA,8.821133283467495e-06,wrong,No
7R82O9gcZH2Gt0dShRfxH4Cyh4Co5Gg9811rnSA6o4JIESmKl97JerJ7sEpFG5M0IlNQ3TuTLgympOtw,8.030748532059278e-05,wrong,No
b299wAAUpqJybLbKntWUD97AVogRduGcty8mZ7S2BdtsFjE0K8k4mL5B19OmaL7UuOZx3jmKuvlZ1U73fpsBtg,8.172922015358912e-06,wrong,No
bhdwSIvP2fylo2B4CfsGyMHxFeEO6NPKRx7aA9x70CnOCgXNGKUaZijEfGoMTHWCxXc3LLu8DBCcMx6rdUj0w,2.132022794711047e-06,wrong,Yes
blzmNFL3Q5AKLxk57JwK10tdatEAroe3ykbH39ZzoWzmBNHQjlVHYqkEsPkNCqsE0l06WrKiZz6rePNcRkg,3.1650021452112443e-06,wrong,Yes
CJlxx4t4hAUsCFkKwVwC9c8PdZ6dERibh2Mqs133aDdCIusR47q0AsVn5Dp9iKhVOlrbYIkGrqEgqU8uBgNA,1.6842831345704334e-06,wrong,Yes
CKNKe5HNth2G4Udl1pTwEQpcNJCE1aCB7PT8aJQIm7wxdDVWO0ApvIfG8CorECrGuCoHIxpAgKuWzYs4Vgg,1.3812549445874451e-06,wrong,Yes
cNsw3tz35wMvWzNavZnTgyREMR56uDlLuj1ewuUcQjIDhvTKNtsety9AFaEOoZJHSN9d8oREsErvczfIPPw,9.148549103819886e-06,wrong,No
dBy3DIoQZdKlZ6kp7f5AnYwRA0P8VVgckDKXxdCpD2cqAcydTJELfE4G89TiCjlUsG8xcCDP0WTKbnQ1Tdg,2.2477804258740062e-06,wrong,Yes
DPDR1ONDaPvwugi6dndh6LxnfDb26TWZWafu77zdEJMXZeGMrH7hcgLGRJF2sAEr6lM8APSD5i9k07DYSaA,2.16020881462798e-06,wrong,Yes
FC8H1iBhKLQYdy4DsXUOHLvmfWel0bIxjVi3pxMht20Tdbjw7ufx0Bw1rK2SnsCJQhJG4SUZO3HTPCoZqA,2.509983332618989e-06,wrong,Yes
FCYCOSfleK1039ffPiDLct0eEXhzMDDY3EyfgkI54THk5BUxdDA1TJWsOGQhSx9dyVpjrFIYm3xPrPdHZDKg,3.3296791575892285e-06,wrong,Yes
fdIS5reJyLOWAZQ1HqNwNlrHLIpPjOvE4QzqsvqHhXKEDG1wy9UlcEaDSlpi51ubbtwscmMxxMAsnVcFbg,2.109794872282865e-06,wrong,Yes
fEf6Iny93LoPvRlYuPDFCM2P3uwPqqzCxvKNtHUaYOiZTc6qi4FRy4XpeHfydtn4DsCyZ8sUYf4xqVjGu7uA,2.345656672538433e-06,wrong,Yes
HH2GTf55vRYAA1uQOQeRAukb1CM7nx6CwOl9jYKE5I4AhsSbHpi6omrCnNWWTkq5npcCvf5DfaoJwTWw,1.7016292604572288e-06,wrong,Yes
jvY6YOoubfYxPMMCoxJKXpXVsdBUDvuZexu3Idy2iJKfs2VXY9hMSdvTIRRFkL5J7JZhlrQQs2j0CX3dXbQ,1.3885129466215092e-06,wrong,Yes
Kmg96ZtvYFl6skIeGF106PclXINiVvXKLsJghMBNPTrqnMPZXuE7eaWnNXrRqhNWLwGlswYsUxWg72uGotvg,3.599991775075044e-06,wrong,No
LdlMcPjDQNtS8TTdmHPuvesDdxTB8frPkGWdZmpm3VEGtUh1LPZKadF1bpBsYUOGWJmgDvDVvlHMjDrhxvg,4.252673400276613e-06,wrong,No
MIbMlC1XndsNICb6tScSxVVWazjdDEcNzD8ehhHRBPu8SrOFyPHYSfKMfF2J04AD5nsNaVotbu9WIRKoaDjcXw,2.1113935553719748e-06,wrong,Yes
mTfAnbyTssjAjNixhZ18zIq5hEzstbh0lXa4uBsUAjJnGd3A6483o8K4eEQQChgjgR1aiyFbH5F11yj4aCw,5.643664463213722e-06,wrong,No
n6Z6B9q8YeAQyTUrZcSzi7dNySBWwckUbvqOVJHw9twQx3n4SMHhH7IHfG0aagLotEeOdqoG2ooiHJhcg,1.653149463004658e-06,wrong,Yes
NFwBHe3JlEvJkPlfWsLU6Kq0FlRP3mHfkscfBLE6ZAw2neHymLaukpOHiDbxdIfr1V8SVhHkcIqmfD6hZ6WRQ,1.0611682010450992e-05,wrong,No
nWqvVo5ti0HKKBJSwu7jareySSjhGY7INYtLGnfwmjlpAqC7CPEghtdARdfiXlbbDzMAVx9JmJ0ux3YGgFjA,6.007672447252985e-06,wrong,No
ooGYlOAUBF1U0e0S5Wr1Eiw28Xtvu6uatrFqV618H0aLRicnMId6Kj8HwzS5T0FOSgmxlAmyx3RWvXkqo7w,0.0005369175711385,wrong,No
PlfPHk7UTHbFwrWqfy4UqZMEzfHlf2L2ytV7CALmMp9Brxqwz7AVaCbS75HeQ9C5aDF4i3o2AztQ6VfTO33g,3.521075212607466e-06,wrong,No
PtZ07Q2ggEwWSMAp5R0HUnwjnGHQt0ftkRMBGqYuXUtlqW3pe3YHRrV1ducqAkPMYjM1Y8y1mlIJAPKbq1ZHA,1.6281300131046522e-06,wrong,Yes
qAiZiUqnP8eY4KwrqCmpUbYXdwEtuIvXfB2Xo69OQj5uT0ocFATNq0Pq8Xzl4KQ7JpvjBB5p5OluzlHGJ2w,2.008332268718363e-06,wrong,Yes
RpxMDsl5rQ1DnUIfVDU8PmyckEzv3iLypap55P9rVXqpbBR7elUgtMMSo1piF2s5T5eaFgBAJSsQ8f04YRQ,1.388816615690216e-06,wrong,Yes
sHXMFmdJY6V2M7QlTLY0AgZPd9pDMs94b60NeuYtlYEDw11L71OiyoagIGlZLMYG2UecUCajlzBeE7TBIA,1.46874695907828e-05,wrong,No
TpkXNvELz0ueZIQKe4qNfUy6wuUKrRYFSF12xPyWI904T8O36b7UyaJrYZgqfL5rjeJbyssG5JAglvIMUvHA,1.9988054788910643e-06,wrong,Yes
u2snGKk4UC9181m8IJS2p1jphM942gPn0Ni4GqXEFbAobLtTq4McNddOygmm4FxhBxeOXGwXHSHOfR9Sm8fw,6.023057438231178e-06,wrong,No
xbNxmSmO24sBgMqoeg9JNNpFHEjGfJauTcfB1NEHO4EeZCWYMAYCP44yZXRh2cJ8UPfZJZEjKXY2AZ3ow,1.8840725922309e-06,wrong,Yes
XweFoTnWNx97wlMdWz4otQ1ed3f8pwkM3TyhteoXc3J58oybrN7NNbvH11qph3NwUMzbc7LB6Bxhrrw4tQ,3.1499230792424667e-06,wrong,Yes
xyRXCdpJ4sAGQe9rwiqCgZ4KIMq96IAJbbt5hRzEajpcDPV1fi1cZQvdVwITKnBWcxORTxmCEHUBhCIwAh5A,1.627395296933047e-06,wrong,Yes
yE5aLjFonEEe50eLWFsaIL0QMzf7lnkG1u8b1fgG2lobAVQXXdMfF07LOsQHcWfN9dcSY7zZjbiJrGoeg,1.884098665523649e-05,wrong,No
YeWvmLO42PH8VjIItk7fmmgR5tSSUHsdNzZz64vX29ZI9HKxShEEkX0QSuf0wXoJ6KLKtfwn9ZyCIxf0hQ0w,2.1744485236556037e-06,wrong,Yes
yMLUt3EiKdT7mCCj0PJE85xyVS7lukfssidvflrcLMG8VDhDzWBndM12VHw7a71ebPT9QBoP1Z6B7KFsTtQ,2.066059779900811e-06,wrong,Yes
zVa6roD3uWOMCfvfm0CrskqgBsg1cEWeYywtChQ3yEMHtwNyUBG4NjLzxYsvce7Y9OdKsMaJt3ynzsumidQ,7.67868135550884e-07,wrong,Yes
021YLpiAi2VSAbmXTT2Kw9zFzc7K17nuEVgzZm3beMmYoJhkc93M7JDBdI9IJXTipsflJGSnZDJ8LMYBYqCQ,4.066594671610599e-05,wrong,No
0mHNFXUDdwACmydw5odIM6CqUor2IxCNe1feiMfSMForXW9ZMGa4JkexV7dL7WyRVfY33iznOJmsHI8IpD6Sw,4.087393190510927e-05,wrong,No
1r3WiUteosV7fSX4ylWWLsNF0zbJkgN1ykpl3SrWJKWeSD0ZYnPxFB2PWOfg7j0oU2biZRvB5w9Xzh3KzhQ,4.059864070789601e-05,wrong,No
588HZWpaVHey9gPM2iOaB6bUT1dVC1JohV4VSyCC2YeLtJtoAegzIB9Ze7oXqFBpzYXNkh6VwsLtSYO031xfA,4.064059159417872e-05,wrong,No
5OdOWMEuL2I1wUIWM6ImT1YQdgODhzL46qKkCp3dM1wRZvVwutCe0ws7qOJ9KWJQ7TOB3ZvTdlndKxQwvp8EA,4.066842108091615e-05,wrong,No
5qJsiy6LQvfzyyXbN54prkh0YOTdlZvYbQB8aySMJtJ0RBQlnulWKLEW9a0pALMnIgabPG1bZnlWtrzLDe5w,4.062590551723711e-05,wrong,No
7Qw5ZMBl6wlMHKLnQDvW8Of9lwrgCYzNat4GlGqKMzDgAByemq572pi0A2GA0LbH2SznIAOReIyB1CwfjpWKQ,4.062343833529829e-05,wrong,No
7sXb6wfHJl7jy8cf80TWTDVPktMS936Z724JYgCqn17vMw6XqhPUMXDWswOoPUfwTdL1NsmafermJ23GbIg,4.1186453731653725e-05,wrong,No
axJBkO4LPqiNfYEPkNgNsHA9T1DboAvAXCJUKhZBzADVWYyMRFaPluobG8yGFDgiw357t9tfRzAAbcSinJg,4.057749717011185e-05,wrong,No
clwds3xdC0DfzSUwjyTPmn9gbp2x9L29h3KPm5nxGBIPUbrhPpQ8RZlXhnj7dVh6hsNloOAoZiw4aKhXMWKQ,4.073198732061489e-05,wrong,No
CVLqO88OZ2E5GMLb3fXUUP8mQ7zjsxx4tctwkZZ1awfZ9mrGcc6HtA6EReT7wqA60EjOURmKSW6jL5POg,4.063663684123471e-05,wrong,No
dc4YdUSQgKE1jFA4ih0X6idynhuRdRJYQB4vvWvGasEOhyyVFtJi1XDc4QIHTAYMKBRfmAlAnCoDIVlghnWtw,4.060586741465943e-05,wrong,No
dqA1k4eu17YgkQnwoR11AkJ2MiAZPra7t10iLVQrJECLxMs9PO4lYkwkXRdsW0RxTFmSQ74K3KFXqm9Eg,4.060454190181986e-05,wrong,No
dzLAN6LWUQM9qkoVPUZjmUk7WHKid96LS33NmkxaRPF38PdYZq2rJeZRH5QrrNAvf0Lj2UxTkjaoLLXQw84g,4.063949393120192e-05,wrong,No
EsEZpfP7n5hRxQo1ahyfiuOUf7W3cBhDQ9CSeAcaZTnsbFMRwqtHYEh256q01aJzBzNbAFZ08KohVMXLlV75A,4.057784399367392e-05,wrong,No
