log_id,mse,activity,Recognised
0yGAu6NFhY8iYxiwYNPVr4IIvJdVmcPKeDBMOpNkzeelTna3pEXVyM1ESDYjUIxxecA1uYLtirbcGJJJJA,8.081386953819597e-07,right,Yes
24rrYFo5Ne16cjcQKcfs2TaX8xgKxHHQZwFaMo2KAkKRyOmMWUY143VwOy4O8QyTmEI6PpMYs4CFJNGg,1.3771898210938726e-06,right,Yes
CKNKe5HNth2G4Udl1pTwEQpcNJCE1aCB7PT8aJQIm7wxdDVWO0ApvIfG8CorECrGuCoHIxpAgKuWzYs4Vgg,1.2900525287694406e-06,right,Yes
XweFoTnWNx97wlMdWz4otQ1ed3f8pwkM3TyhteoXc3J58oybrN7NNbvH11qph3NwUMzbc7LB6Bxhrrw4tQ,1.968786098417402e-06,right,Yes
xyRXCdpJ4sAGQe9rwiqCgZ4KIMq96IAJbbt5hRzEajpcDPV1fi1cZQvdVwITKnBWcxORTxmCEHUBhCIwAh5A,1.4501727581078844e-06,right,Yes
021YLpiAi2VSAbmXTT2Kw9zFzc7K17nuEVgzZm3beMmYoJhkc93M7JDBdI9IJXTipsflJGSnZDJ8LMYBYqCQ,8.962118864936897e-05,right,No
0mHNFXUDdwACmydw5odIM6CqUor2IxCNe1feiMfSMForXW9ZMGa4JkexV7dL7WyRVfY33iznOJmsHI8IpD6Sw,8.952963421464131e-05,right,No
588HZWpaVHey9gPM2iOaB6bUT1dVC1JohV4VSyCC2YeLtJtoAegzIB9Ze7oXqFBpzYXNkh6VwsLtSYO031xfA,8.962464160040754e-05,right,No
5qJsiy6LQvfzyyXbN54prkh0YOTdlZvYbQB8aySMJtJ0RBQlnulWKLEW9a0pALMnIgabPG1bZnlWtrzLDe5w,8.966268598766551e-05,right,No
dzLAN6LWUQM9qkoVPUZjmUk7WHKid96LS33NmkxaRPF38PdYZq2rJeZRH5QrrNAvf0Lj2UxTkjaoLLXQw84g,8.961475659292626e-05,right,No
EIM9mASGXaiZeWBnb6zZjjLMVMbbkZt5pSJ0D6XfOTjk55rDDFKWGal1JxHxTNUqRfsClmYrylRed6d7D3A,8.93843000847692e-05,right,No
iaRq8hdusyc16oKinsPWMZiIi730yo5RLio5pBm0rcNt0vRrIPLkcAjTOcg65cG78UIm9w34bxqpZp8vCQ,8.964208006658014e-05,right,No
L5tvpJmSDHYmG1BjpEoMd8EbykxyFZSyaOGcSJhS9Szmz9c9wFnV5AxSMWqLUxS71DxHPyE1udSDjnHIvJpQ,8.95466155585698e-05,right,No
SLb5V3AN75WxGDdbY8gM1HVeqZXTO0k51tMY51HdiQdCpmWkx9jacbfY9CQcBmprqE3r9kw33IgrOQPKRI1Q,8.9526581116603e-05,right,No
UPYiWp0LYRMcRguwJlSe9dk2qGnjDr6RjPJDuUD7JCdSl29Ytdc11tCG4e4fFLu2ZdxRVSyygTScL3jj3Q,8.954927353285078e-05,right,No
WdCxWSsqbfw15eiuVVkfeaocPV04fApSkv4B2cUpAYpZf1FQelX9RRGfdG90r8hBo8mjUQAjQOGgGZZ0Femg,8.961255836487184e-05,right,No
YE0o7PHEXhK4U0jtuKsyTZ8At8SmKmUS0V0MzhHtsQU8NdUQRTtaA51z1iEkU2wNzKLpPKYpCGkOCOoUpknQ,8.959376086372999e-05,right,No
YYV2QwRqFNEfRoh6s9vJAr5lovjuGmP9ogwhBIbzw9ntMKOCLZeJePzvHnfdY50vE2tM8gB2XBcaF6EQD8hPQ,8.958612915933731e-05,right,No
