log_id,mse,activity,Recognised
257FXjNHhsNBaDN0qqkdg2jlng6OOfuulR8Kr9E1Rife9YFcDGdiSbz6aaFGlfElEmygKjv2fvpIQwJlY95Q,2.5374776548165423e-05,right,Yes
CCCpQUXwWW7MlccK4FwFuPFTuO0hAz0BQwItzJb98cJWsvMnTnfKFtVmmocdwXzT4vQRDgyXhMk89uzCCQ,1.085666485261043e-05,right,Yes
tw4Qv8ImyzUOtWdRiCiyNLNjhT369PWnfPTdyADAZRWnQmqG78wI5Xl1K97ngGRoRpvUoRQBPQtw54WQcxRQ,3.876422328126714e-05,right,Yes
CJlxx4t4hAUsCFkKwVwC9c8PdZ6dERibh2Mqs133aDdCIusR47q0AsVn5Dp9iKhVOlrbYIkGrqEgqU8uBgNA,2.4729798279449352e-05,right,Yes
Kmg96ZtvYFl6skIeGF106PclXINiVvXKLsJghMBNPTrqnMPZXuE7eaWnNXrRqhNWLwGlswYsUxWg72uGotvg,5.346927405441388e-06,right,Yes
n6Z6B9q8YeAQyTUrZcSzi7dNySBWwckUbvqOVJHw9twQx3n4SMHhH7IHfG0aagLotEeOdqoG2ooiHJhcg,1.819240751440401e-05,right,Yes
nWqvVo5ti0HKKBJSwu7jareySSjhGY7INYtLGnfwmjlpAqC7CPEghtdARdfiXlbbDzMAVx9JmJ0ux3YGgFjA,1.165803619486636e-05,right,Yes
RpxMDsl5rQ1DnUIfVDU8PmyckEzv3iLypap55P9rVXqpbBR7elUgtMMSo1piF2s5T5eaFgBAJSsQ8f04YRQ,8.978302388510595e-06,right,Yes
u2snGKk4UC9181m8IJS2p1jphM942gPn0Ni4GqXEFbAobLtTq4McNddOygmm4FxhBxeOXGwXHSHOfR9Sm8fw,1.7617951939279063e-05,right,Yes
YeWvmLO42PH8VjIItk7fmmgR5tSSUHsdNzZz64vX29ZI9HKxShEEkX0QSuf0wXoJ6KLKtfwn9ZyCIxf0hQ0w,1.26838426285769e-05,right,Yes
2DsfeswNqNZnOCdU3FgENdgb3xHOnKM1zhDMQiAspblNLTzclWBj2AfAaftsiNky1D2NUV6A2bEpZQIhh0WMw,9.293821726552812e-06,wrong,Yes
