log_id,mse,activity,Recognised
RrDidOzIwLRJhK4OYaAVNxA6GFp7u3AhkGOCaslO0uYJbUc9cqxkW5zRmjPCjRq9AjufU9ji6DQK2epG7mzw,1.0476183413460778e-05,right,Yes
yLhvLULhWQerm7j7u4UMjh9ivMuFq1Hwf2TLjOzmsMXvHm1GdZSYW9ETVtbMNx82gmV2dugSzH3wPT9kf6mw,8.785724399831484e-06,right,Yes
84LtcdBUs8RNrYBWZK9jPfG1ZaUV4OVVkKzMzm5aoyy3dYfyosglTHE116f8gV3tbToMpACcLNsczQfvcedHw,2.6205207401767077e-05,wrong,Yes
a3QT9hUVbegf68xRqNwWKfg2MMz8cdImNscLaZ0932GpVuv7tfTkvozIAn3QCpjqu2sr3fJ39072Ha6dPFuYw,4.2993531457248e-05,wrong,Yes
GSFRAj2b57K37WMqi1YNepcbGt9LrpgLYomi40Ylc3m8yodJlZ8JjSDs7NxbtXVCZa2bY5SjkaFblmkMx47w,1.0282663954959872e-05,wrong,Yes
mBKuHfaZ2c0kpT3ozW9NhPlWivHySPrMWKL11YXWancwf1Np63wuGSfbLed8Gn0OQEgjpbSebN2KBP2KpynwA,1.187112561797905e-05,wrong,Yes
qjfPHmR2uBW026o5sWrnt9TfEBCIpmVg1ULRTo4KQl4nsqnmDqhqnejI6VZiWXCBMO8XdPz7A7TQ42IzFpxA,1.121498613176587e-05,wrong,Yes
Y6QLETYq0j30PJL0CuwvBrJwZP7gLOmvXTeFcu45guDsMO58FRCosgvqWIwHzhB5OIFru5exWlKlGuwtG7vg,1.1668126429887348e-05,wrong,Yes
HsWsXEzfbrdaeMZOvVphCRifPk9j6vQSIArqdL8Gy7bJjv4n7DA9DiNLZ65iu4sB6SjHisdF2yO1gXU2YMA,8.67144514062952e-06,wrong,Yes
j7DYLRBJPRvi5Ews63BZTi4ahWfwcphbN6CMR5UmYVksTk3mfKKPb22lLhI1HaRd6PRu2gOtxPwV4dETngWVJA,8.598622637102099e-06,wrong,Yes
MwKeJG2e2DyYMHyPXOXDi6FxnJiSxArLsxaXQ2m0TyVc5QYzQw7ZK0tNUSPBHmAw4rGQy8OmImsk9gLIC6ag,8.833492884939373e-06,wrong,Yes
uIbB3QuAeIOA57B7K6L6xGakcXYzgfZov1aLnNLUWFjHo2KGYSefmFQiyIU3pGZrYzl2li8YOaNpsvMPJp6g,8.625793011673653e-06,wrong,Yes
URiBRAq92qE28kY0yP5cb3GSqX88s50rGs9ffWcRLQw7pZpFYDl6y5wyPM9SBfgaKt4nXeSvNfG3kUHk3StLg,8.701489713974477e-06,wrong,Yes
